Date,LTP,Open,High,Low,Quantity,Score
6/04/2011,300.885895,297.432434,301.801788,292.107117,7643700,0.15445
6/05/2011,289.049042,297.547546,299.724731,289.024017,9819300,-0.112625
6/06/2011,289.809814,291.561554,295.295288,281.281281,11846300,-0.134857692
6/07/2011,273.283295,281.771759,284.78479,272.447449,14978200,-0.0048
6/08/2011,286.992004,280.780792,287.59259,270.775787,12926400,0.013188462
6/09/2011,274.779785,280.970978,282.342346,274.13913,10728400,-0.097885185
6/10/2011,281.346344,277.187195,284.534546,274.479492,9651500,-0.141490909
6/11/2011,282.167175,285.035034,285.535522,280.480469,6302200,0.5859
6/12/2011,278.89389,276.992004,282.777771,273.298309,14275500,-0.29054
6/13/2011,269.769775,276.491486,276.49649,265.415405,13864900,0.048935
6/14/2011,266.841827,270.285278,272.117126,265.650665,8150000,-0.032474194
6/15/2011,252.692688,261.997009,262.707703,250.495499,12568800,0.000956522
6/16/2011,245.705704,249.919922,257.692688,245.675674,10809100,-0.043845833
6/17/2011,249.334335,252.252258,253.753754,247.512512,9801900,0.021663636
6/18/2011,259.669678,252.001999,260.965973,249.779785,8684900,0
6/19/2011,261.906921,259.924927,265.265259,258.873871,7181800,0.083333333
6/20/2011,260.280273,265.455444,268.9039,259.409424,6579400,-0.020248
6/21/2011,263.693695,260.255249,265.490479,256.826813,7185400,0.131842105
6/22/2011,269.809814,267.547546,269.994995,267.047058,4666900,0.009161111
6/23/2011,270.620605,269.364349,271.766754,265.670685,5972000,0.0397875
6/24/2011,270.750763,272.642639,273.423431,268.26828,5381200,0.03397619
6/26/2011,266.51651,270.64566,272.187195,265.875885,4826100,-0.29295
6/27/2011,262.682678,262.497498,264.224213,260.625641,4797500,0.064014286
6/28/2011,261.351349,255.655655,261.641632,255.505508,5426100,-0.046589655
6/29/2011,267.282288,265.490479,268.238251,263.963959,5506000,0.035435294
6/30/2011,267.747742,267.167175,269.819824,266.216217,4756200,0.012
7/01/2011,262.687683,265.965973,267.59259,260.855865,6531000,0.04648
7/03/2011,265.325317,259.239227,266.261261,259.009003,5335400,-0.1998
7/04/2011,265.025024,266.266266,267.207214,261.961975,4703600,-0.16515
7/05/2011,266.3013,266.561554,268.743744,263.173187,5383400,-0.014494118
7/06/2011,271.551544,268.018005,272.762756,267.547546,5915600,-0.01056875
7/07/2011,273.613617,272.672668,273.693695,271.841827,7061500,0.010283333
7/08/2011,273.608612,270.445435,275.22522,267.957947,4931800,-0.010985
7/09/2011,273.588593,274.974976,279.539551,271.606598,5552600,-0.4019
7/10/2011,269.869873,274.11911,277.777771,269.699707,5023500,-0.3062
7/11/2011,260.590576,263.388397,264.654663,257.257263,8791700,0.100475
7/12/2011,263.018005,258.538544,263.47348,257.507507,5549000,0.017258333
